session_id,client_id,visit_date,visit_time,visit_number,utm_source,utm_medium,utm_campaign,utm_adcontent,utm_keyword,device_category,device_os,device_brand,device_model,device_screen_resolution,device_browser,geo_country,geo_city
9063141480290705386.1641406425.1641406425,2110177064.1641406442,2022-01-05,21:13:45,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Huawei,,360x720,YaBrowser,Ukraine,Lutuhyne
9063563868849356308.1641332243.1641332243,2110275409.1641332244,2022-01-05,00:37:23,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,414x896,Safari,Russia,Moscow
9064876350725541216.1641401694.1641401694,2110580995.1641401696,2022-01-05,19:54:54,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,Android,Huawei,,360x780,Chrome,Russia,Novosibirsk
9065773152781841978.1641395770.1641395770,2110789798.1641395770,2022-01-05,18:16:10,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,390x844,Safari,Russia,Moscow
9068182715334214075.1641365948.1641365948,2111350818.1641365947,2022-01-05,09:59:08,1,sORFTBvqnhWCekwPSNpw,banner,UbsMmmrDEFnwCqrzceMX,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,Android,Xiaomi,,393x873,Chrome,Russia,Kazan
9068182715334214075.1641366033.1641366033,2111350818.1641365947,2022-01-05,10:00:33,2,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Xiaomi,,393x873,Chrome,Russia,Kazan
906838679259266305.1641364739.1641364739,211139833.1641364737,2022-01-05,09:38:59,1,sORFTBvqnhWCekwPSNpw,banner,UbsMmmrDEFnwCqrzceMX,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,320x568,Safari,Russia,Krasnodar
9068447147880708801.1641380545.1641380545,2111412386.1641380545,2022-01-05,14:02:25,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,375x667,Safari,Russia,Moscow
906935148519752775.1641415750.1641415750,211162294.1641415751,2022-01-05,23:49:10,1,hqpYkWpkYefgduliaKcm,cpa,ZSetXyxpNBNtqtGpTAqT,,,mobile,Android,Xiaomi,,393x818,Android Webview,Russia,Kaliningrad
9069777213352952925.1641399392.1641399392,2111722066.1641399389,2022-01-05,19:16:32,1,kVGXyneGKJVfHKWnWbEr,(none),XOywtQLVBIVeKsBULENc,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,Android,Huawei,,363x797,Opera,Russia,Tula
9069777213352952925.1641399443.1641399443,2111722066.1641399389,2022-01-05,19:17:23,2,byYafUVAppMExJfuTVzO,referral,XOywtQLVBIVeKsBULENc,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,Android,Huawei,,363x797,Opera,Russia,Tula
9069777213352952925.1641399459.1641399459,2111722066.1641399389,2022-01-05,19:17:39,3,rWmSSvZNznxUBktyjDbQ,cpc,,,kMzYhPLaDpKXIzFmygLd,mobile,Android,Huawei,,363x797,Opera,Russia,Tula
9071141647153456652.1641375244.1641375244,2112039748.1641375244,2022-01-05,12:34:04,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,360x800,Chrome,Russia,Moscow
9071492906758798952.1641381481.1641381481,2112121532.1641381480,2022-01-05,14:18:01,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,375x667,Safari,Russia,Izhevsk
9072109831566256793.1641405623.1641405623,2112265171.1641409177,2022-01-05,21:00:23,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Meizu,,360x640,Chrome,Russia,Voronezh
9072752715155984097.1641369315.1641369315,2112414854.1641369313,2022-01-05,10:55:15,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Huawei,,360x760,Chrome,Russia,Kazan
9076159732323290266.1641385117.1641385117,2113208112.1641385114,2022-01-05,15:18:37,1,hqpYkWpkYefgduliaKcm,cpa,ZSetXyxpNBNtqtGpTAqT,,,mobile,Android,Nokia,,412x823,Chrome,Russia,Ufa
9078436434356666608.1641377839.1641377839,2113738198.1640694000,2022-01-05,13:17:19,2,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Huawei,,320x676,Chrome,Russia,Chelyabinsk
9080390884994953027.1641392303.1641392303,2114193254.1641131843,2022-01-05,17:18:23,3,TBhfIrBcXoGGskDqdjcU,organic,XOywtQLVBIVeKsBULENc,vmpjxytvOioeqSlwNoAl,BhuVXCTJUYBhpoMLNrrC,mobile,iOS,Apple,,375x812,Safari,Bulgaria,(not set)
9080699293711817662.1641372607.1641373908,2114265061.1641372606,2022-01-05,12:11:48,1,cmcShJXKZHuYlCvCpXZK,referral,yhWEanrxDSAcPHHkrasG,WIOzdJfwNfayjurbvIlV,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,412x883,Chrome,Russia,Tula
908088875519694090.1641403671.1641403671,211430917.1641403658,2022-01-05,20:27:51,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,412x892,Chrome,Russia,Yekaterinburg
9082346886116266186.1641402574.1641402574,2114648671.1641402570,2022-01-05,20:09:34,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,412x915,Chrome,Russia,Chelyabinsk
9083349095242918836.1641360774.1641360774,2114882016.1624370100,2022-01-05,08:32:54,12,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Saint Petersburg
9084674011066377976.1641391869.1641391869,2115190497.1641391864,2022-01-05,17:11:09,1,MfMDGXPFOzCQGtbPrwoC,cpm,byYafUVAppMExJfuTVzO,FwVJIvxPiYpGIZZiGAHj,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,412x915,Samsung Internet,Russia,Yaroslavl
908696458754036074.1641369437.1641369437,211572381.1622184298,2022-01-05,10:57:17,27,rWmSSvZNznxUBktyjDbQ,cpc,,,ZSetXyxpNBNtqtGpTAqT,mobile,iOS,Apple,,390x844,Safari,Russia,Moscow
9087065453151770304.1641404099.1641404099,2115747298.1641404096,2022-01-05,20:34:59,1,hqpYkWpkYefgduliaKcm,cpa,ZSetXyxpNBNtqtGpTAqT,,,mobile,Android,Huawei,,360x780,Android Webview,Russia,Ufa
9087244622007460478.1641374334.1641374334,2115789014.1641374334,2022-01-05,12:18:54,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Fly,,320x570,Chrome,Russia,Saint Petersburg
908861484301657048.1641391064.1641391064,211610804.1641391064,2022-01-05,16:57:44,1,CVoLfHiSYnQlpfwfKDvK,cpc,sORFTBvqnhWCekwPSNpw,,YrIWiFqBTwgAEoPpyDbU,mobile,iOS,Apple,,375x812,YaBrowser,Russia,Saint Petersburg
9089386127060968417.1641358314.1641358314,2116287622.1641358305,2022-01-05,07:51:54,1,rCwevFuOxpUDnVyFySMx,cpc,UdWbkgypzlAKtkKKMZsE,YrIWiFqBTwgAEoPpyDbU,SPIBvHuSExLqgouXsmpP,mobile,Android,Huawei,,424x918,Chrome,Russia,Moscow
9090451326195065565.1641407198.1641407198,2116535633.1641407197,2022-01-05,21:26:38,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,375x667,Safari,Russia,Yaroslavl
9092363535829562277.1641410775.1641410775,2116980854.1641411493,2022-01-05,22:26:15,1,kVGXyneGKJVfHKWnWbEr,(none),XOywtQLVBIVeKsBULENc,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,412x892,Chrome,Russia,Kazan
9095457101988597065.1641385292.1641385292,2117701131.1641385289,2022-01-05,15:21:32,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Ufa
9095516724724621707.1641406859.1641406859,2117715013.1641406859,2022-01-05,21:20:59,1,rCwevFuOxpUDnVyFySMx,cpc,UdWbkgypzlAKtkKKMZsE,YrIWiFqBTwgAEoPpyDbU,SPIBvHuSExLqgouXsmpP,mobile,iOS,Apple,,375x812,Safari,Russia,Saint Petersburg
9097603215542009300.1641364950.1641364950,2118200812.1641364948,2022-01-05,09:42:30,1,sORFTBvqnhWCekwPSNpw,banner,UbsMmmrDEFnwCqrzceMX,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Ufa
9098540381700912313.1641407534.1641407534,2118419013.1641313465,2022-01-05,21:32:14,2,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,390x844,Safari,Russia,Moscow
9099192954736982137.1641396344.1641396344,2118570952.1641396345,2022-01-05,18:25:44,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,414x736,Safari,Russia,Kazan
9099514407269254092.1641366476.1641366476,2118645796.1641366476,2022-01-05,10:07:56,1,kVGXyneGKJVfHKWnWbEr,(none),XOywtQLVBIVeKsBULENc,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,375x812,Safari,Russia,Moscow
9099514407269254092.1641368590.1641368590,2118645796.1641366476,2022-01-05,10:43:10,2,kVGXyneGKJVfHKWnWbEr,(none),XOywtQLVBIVeKsBULENc,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,375x812,Safari,Russia,Moscow
9099575464524365831.1641398279.1641398279,2118660012.1641398279,2022-01-05,18:57:59,1,hqpYkWpkYefgduliaKcm,cpc,,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,375x812,Safari (in-app),Russia,Moscow
90999599750546784.1641383264.1641383313,21187495.1641383264,2022-01-05,14:48:33,1,cmcShJXKZHuYlCvCpXZK,referral,XOywtQLVBIVeKsBULENc,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,414x896,Safari,Russia,Moscow
9100901862089641233.1641387660.1641387660,2118968838.1636519185,2022-01-05,16:01:00,4,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Krasnodar
9102763721827395786.1641392330.1641392330,2119402336.1641392330,2022-01-05,17:18:50,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,414x896,Safari,Russia,Moscow
9102914539603962740.1641360244.1641360244,2119437451.1641360244,2022-01-05,08:24:04,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,414x896,Safari,Russia,Yakutsk
9103684979427455223.1641361656.1641361656,2119616833.1641361655,2022-01-05,08:47:36,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Huawei,,360x780,Chrome,Russia,Chelyabinsk
9105275848198838913.1641405065.1641405065,2119987236.1641405057,2022-01-05,20:51:05,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Xiaomi,,344x611,Chrome,Russia,Krasnodar
9105996397682171584.1641375745.1641375753,2120155002.1641356992,2022-01-05,12:42:33,3,cmcShJXKZHuYlCvCpXZK,referral,yhWEanrxDSAcPHHkrasG,WIOzdJfwNfayjurbvIlV,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,414x896,Safari,Russia,Moscow
9107701100266769610.1641401546.1641401546,2120551909.1641401546,2022-01-05,19:52:26,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,375x812,Safari,Russia,Novosibirsk
9107853116339183682.1641340996.1641340996,2120587303.1641340994,2022-01-05,03:03:16,1,sORFTBvqnhWCekwPSNpw,banner,UbsMmmrDEFnwCqrzceMX,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,Android,Huawei,,360x780,Chrome,Russia,Krasnoyarsk
9108627816770283040.1641391649.1641391649,2120767677.1641391648,2022-01-05,17:07:29,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Irkutsk
911111879661015044.1641369608.1641369608,212134765.1641369604,2022-01-05,11:00:08,1,CVoLfHiSYnQlpfwfKDvK,cpc,sORFTBvqnhWCekwPSNpw,,eLAiGmqxNfxmIQnLyloB,mobile,Android,Huawei,,360x780,YaBrowser,Russia,Saint Petersburg
9111181282201931987.1641386195.1641386195,2121362202.1641386195,2022-01-05,15:36:35,1,MfMDGXPFOzCQGtbPrwoC,cpm,MDkExPKZNAIpCZgwwLjJ,RpdbLePGrVUZqBHVVoeF,BhUZBJUdmsWLEISSdxTa,mobile,Android,Xiaomi,,360x640,Chrome,Ukraine,Kerch
9111309280817279562.1641378380.1641378380,2121392004.1641378378,2022-01-05,13:26:20,1,MfMDGXPFOzCQGtbPrwoC,cpm,MDkExPKZNAIpCZgwwLjJ,RpdbLePGrVUZqBHVVoeF,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,412x915,Chrome,Russia,Kazan
9111418265612448199.1641411020.1641411020,2121417379.1641411015,2022-01-05,22:30:20,1,hqpYkWpkYefgduliaKcm,cpa,ZSetXyxpNBNtqtGpTAqT,,,mobile,Android,Xiaomi,,393x873,Chrome,Russia,Tula
9111747058243817318.1641369422.1641369422,2121493932.1641369446,2022-01-05,10:57:02,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Xiaomi,,393x873,Chrome,Russia,Moscow
9112438917345697116.1641405790.1641405790,2121655018.1641405788,2022-01-05,21:03:10,1,rCwevFuOxpUDnVyFySMx,cpc,UdWbkgypzlAKtkKKMZsE,YrIWiFqBTwgAEoPpyDbU,SPIBvHuSExLqgouXsmpP,mobile,Android,Xiaomi,,393x949,Chrome,Russia,Moscow
9112838997844275441.1641394417.1641394417,2121748169.1641394417,2022-01-05,17:53:37,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Kamensk-Uralsky
9113306023998094497.1641381099.1641381099,2121856907.1641381025,2022-01-05,14:11:39,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,360x800,Chrome,Russia,Tula
9113376491526506545.1641367603.1641367603,2121873314.1641367601,2022-01-05,10:26:43,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Huawei,,360x720,Chrome,Russia,Krasnodar
9113910879947407345.1641365490.1641365490,2121997736.1641365489,2022-01-05,09:51:30,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,385x854,Chrome,Russia,(not set)
9114249284715631139.1641370151.1641370151,2122076527.1641370147,2022-01-05,11:09:11,1,CVoLfHiSYnQlpfwfKDvK,cpc,sORFTBvqnhWCekwPSNpw,,AXAskEMAunRZEKqicGVJ,desktop,Windows,,,1366x768,YaBrowser,Russia,Moscow
9118708620410057202.1641378293.1641378293,2123114797.1641378290,2022-01-05,13:24:53,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,(not set),irgUsCCmRzqWmFVkhnsO,360x800,Chrome,Russia,Moscow
9118942610228342150.1641377161.1641377161,2123169277.1641377158,2022-01-05,13:06:01,1,rWmSSvZNznxUBktyjDbQ,cpc,,,tDIrXmlAjTcqbYQjWosR,mobile,Android,Huawei,,360x771,Android Webview,Russia,Moscow
9120309015418874679.1641392949.1641392949,2123487418.1641392951,2022-01-05,17:29:09,1,rCwevFuOxpUDnVyFySMx,cpc,UdWbkgypzlAKtkKKMZsE,YrIWiFqBTwgAEoPpyDbU,SPIBvHuSExLqgouXsmpP,desktop,Windows,,,1920x1080,Chrome,Russia,(not set)
9121583040157823307.1641394442.1641394442,2123784050.1641394507,2022-01-05,17:54:02,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,385x854,Chrome,Russia,Saint Petersburg
912196599421430140.1641376146.1641376146,212387321.1641376124,2022-01-05,12:49:06,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,TP-Link,,360x720,Chrome,Russia,Yekaterinburg
9127795005976831260.1641375005.1641375005,2125230386.1641375004,2022-01-05,12:30:05,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,360x740,Chrome,Russia,Krasnoyarsk
9127925560097736420.1641383656.1641383656,2125260783.1641383652,2022-01-05,14:54:16,1,rCwevFuOxpUDnVyFySMx,cpc,UdWbkgypzlAKtkKKMZsE,YrIWiFqBTwgAEoPpyDbU,SPIBvHuSExLqgouXsmpP,mobile,Android,Xiaomi,,393x882,Chrome,Russia,Moscow
9128201580465963844.1641366346.1641366346,2125325049.1641366340,2022-01-05,10:05:46,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Huawei,,360x760,Chrome,Russia,Moscow
9129672044124148852.1641387127.1641387127,2125667418.1641387124,2022-01-05,15:52:07,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,Android,Vivo,,393x876,Chrome,Russia,Astrakhan
9130079172664047324.1641363168.1641363168,2125762210.1641363164,2022-01-05,09:12:48,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Huawei,,360x720,Chrome,Russia,Ulyanovsk
913039564062662098.1641356773.1641356786,212583589.1641356754,2022-01-05,07:26:26,1,cmcShJXKZHuYlCvCpXZK,referral,,,QxFlnjtsNRIBuYcQmpJg,desktop,Windows,,,1536x864,Chrome,Russia,(not set)
9130551301239063648.1641399314.1641399314,2125872136.1641399392,2022-01-05,19:15:14,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,360x760,Chrome,Russia,Krasnodar
9130658572342212676.1641363524.1641363524,2125897112.1641363524,2022-01-05,09:18:44,1,rCwevFuOxpUDnVyFySMx,cpc,UdWbkgypzlAKtkKKMZsE,YrIWiFqBTwgAEoPpyDbU,SPIBvHuSExLqgouXsmpP,mobile,Android,Xiaomi,,393x899,Samsung Internet,Russia,Moscow
9131872540553485623.1641389366.1641389366,2126179761.1641389367,2022-01-05,16:29:26,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,360x760,Chrome,Russia,Moscow
9134038514035690132.1641384596.1641384596,2126684066.1641384596,2022-01-05,15:09:56,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,414x896,Safari,Russia,Saint Petersburg
9136440109423750315.1641376940.1641376987,2127243231.1641376939,2022-01-05,13:03:07,1,cmcShJXKZHuYlCvCpXZK,referral,yhWEanrxDSAcPHHkrasG,WIOzdJfwNfayjurbvIlV,BhUZBJUdmsWLEISSdxTa,mobile,Android,Huawei,,360x780,Chrome,Russia,Irkutsk
9136585025915312262.1641404553.1641404553,2127276972.1641404550,2022-01-05,20:42:33,1,sORFTBvqnhWCekwPSNpw,banner,EtfLrwPWorOxUtcoUEYQ,XuLWchPRHivTUPkStLhY,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,412x892,Chrome,Russia,Nizhnevartovsk
9136723560085442956.1641402764.1641402764,2127309227.1641402764,2022-01-05,20:12:44,1,RJLIEngLFcHFAOTtQzDv,referral,XOywtQLVBIVeKsBULENc,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,Android,Samsung,,360x480,Android Webview,United States,Altoona
9136773089648124607.1641331175.1641331175,2127320759.1641226943,2022-01-05,00:19:35,4,byYafUVAppMExJfuTVzO,referral,XOywtQLVBIVeKsBULENc,vmpjxytvOioeqSlwNoAl,BhUZBJUdmsWLEISSdxTa,mobile,iOS,Apple,,414x896,Safari,Russia,Monino
9138647039714082294.1641364983.1641364983,2127757072.1641364982,2022-01-05,09:43:03,1,rCwevFuOxpUDnVyFySMx,cpc,UdWbkgypzlAKtkKKMZsE,YrIWiFqBTwgAEoPpyDbU,SPIBvHuSExLqgouXsmpP,mobile,Android,Samsung,,412x762,YaBrowser,Russia,Moscow
